model,Accuracy,F1 score,Precision,Recall
Logistic Regression,0.8535660091047041,0.7359781121751026,0.7729885057471264,0.7023498694516971
Randon Forest Classifier,0.8641881638846738,0.7424460431654676,0.8269230769230769,0.6736292428198434
Support Vector Machine Classifier,0.8482549317147192,0.7198879551820728,0.7764350453172205,0.6710182767624021
K Nearest Neighbor Classifier,0.8088012139605463,0.664,0.6784741144414169,0.6501305483028721
ANN Classifier,0.8467374810318664,0.7106017191977078,0.7873015873015873,0.6475195822454308
